,questionType,asin,question,answerType,answer
0,yes/no,0439381673,"I have Windows 8, Will this work on my computer?",Y,Yes
1,open-ended,0439381673,what is it about?,,"Kinda like the way they did with the Wagon trains going west..you have to buy food and choose your people etc..it's a fun game and has been around for years. My grown kids played the first games, then newer came along with grandkids playing...It's a fun game for the whole family to enjoy..so saddle up and try it out..if you like the Old West. Look out for the rivers and such...........Good Luck"
2,open-ended,0439381673,"It says above platform Mac, but I see in the questions that it does not for Mac Book Pro. What about regular Mac desktop??",,"I used it with a pc. So, I have no idea. I hope it works for you. I really liked this as did the children in my class. We made it all the way to Ft. Vancouver."
3,yes/no,0439381673,Will this work for Mac OS X?,N,No it has to have a Mac that runs on power pc not Intel processors
4,yes/no,0439381673,"I have Windows7, Will this work on my computer?",?,"Hi T.Lee, I have not had any trouble running this on Windows 7. The OS will work fine."
5,yes/no,0439381673,Will this work on Windows XP?,Y,Yes! :P
6,open-ended,0439381673,what about windows 8?,,Works well had to changes few settings when I first downloaded it
7,open-ended,0439381673,I have a Macbook Pro - will it work on that?,,Nope. I found out the hard way. Sorry!
8,yes/no,0439381673,Will this work on Windows 2007?,Y,Yes it does. That is what we have on our computer
9,yes/no,0439381673,Does this work with Vista?,?,I think so..everything that has said was for XP has been installed on the Vista. Got this for my daughter and her family and they play it all the time so I'm sure it does.
10,yes/no,0615179088,I'm taking a corse in japanese but what to suplement my classes with something that i can play while i sleep as a suplement. Is this a good choice?,N,"No because it's not a listening course. It really is something you must read and take notes on so in this case, for the purpose that you're looking for, this product would not suit. However, I can suggest something for you that you may also buy on Amazon. Even though Human Japanese is an AWESOME learning tool, if you're wanting to play something in your sleep to help you tune in to the way a native speaker talks, buy yourself a book called 'Read Real Japanese.' There is an audio CD that comes with this book wherein the stories are read. You can get a real good sense of speech speed as well as start getting used to picking out words you know. It's a great sleep tool because it's interesting enough without being droning lessons and you'll start to feel yourself compelled to pick apart the speech and translations. So both products are good but Read Real Japanese is the one I'd recommend for the purposes you're aiming for and keep Human Japanese for the thing you tinker with on weekends between classes or get it on your kindle so you can read through it on the go."
11,open-ended,0615179088,Supporting windows 8 ??,,"Yes, Human Japanese runs great on Windows 8, as long as your device can run traditional Desktop applications."
12,open-ended,0615179088,Looking for Japanese Exercise Book: Does anyone have any recommendations?,,"You've probably already figured out a solution to your question, but I figured that I would post here because my answer may help others. (Have you found a workbook that you like? If so, please post back.) You could grab an additional textbook that includes exercises, or just the corresponding workbook. Genki is a very popular textbook series that many people seem to enjoy. You could buy just the Genki workbooks to save money, as well as the answer book if you want the answers. You may need to skip around depending on what grammar point you are learning from The Manga Way/Human Japanese. I'm using Japanese for Everyone and I like it, but it is pretty fast-paced, explanations are relatively brief, so it isn't for everyone. It has about 10-15 exercises per chapter, and the answers are included in the back. It's also cheap, ~$20, though it looks like Amazon doesn't have any in stock at the moment. You can also try practicing what you've learned on Lang8.com and get native speakers to correct your diary entries. White Rabbit Press and The Japan Shop (online stores) also have some workbooks you could try. (I haven't tried any of them, otherwise I'd recommend a couple)."
13,yes/no,0615179088,will it work on windows 8,?,My version (2.0.5) does.
14,yes/no,0615179088,does this work on a mac,?,"No, but you can go into the app store on your mac and buy it, for perhaps less. :)"
15,open-ended,0615179088,"Is this the same software as well, that is called ""Human Japanese Intermediate"" by Human Japanese / Brak Software, or is it harder or better than that one?",,"Hi, I'm sorry but I'm not familiar with that one, but it looks like the continuation of the other one. I'm guessing it would be harder (more advanced) and continue from where the first one ended. Hope this helps."
16,yes/no,0615179088,Is this program compatible with Mac??,?,Platforms Windows 7 / Vista / XP Home Edition
